Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
1062.3647,6.9363761,316.06241,192.89909,310.95148,164.78444,308.27676,102.71758,307.79471,88.138229
1082.0382,9.1497087,316.10745,192.96739,310.98322,164.84178,308.31015,102.79995,307.81537,88.277618
1101.7115,10.401489,316.17514,193.03835,311.02502,164.93359,308.35825,102.88517,307.87717,88.333839
1121.385,4.1043677,316.15805,193.04927,311.02597,164.93398,308.36758,102.8938,307.88461,88.326126
1141.0585,9.134737,316.09802,193.04083,310.9769,164.92183,308.3555,102.83981,307.85431,88.265846
1160.7318,5.2605562,316.03238,193.03409,310.93405,164.88486,308.33978,102.8064,307.84494,88.200745
1180.4053,6.6779814,316.05304,193.00967,310.97073,164.8629,308.36554,102.80889,307.88483,88.239349
1200.0787,6.3739328,315.95947,193.06786,311.02826,164.87546,308.21753,102.79179,307.59433,88.221397
1219.7521,15.010885,315.62888,193.16322,310.88849,164.91093,308.06387,102.76998,307.39972,88.203453
1239.4255,12.739989,315.72238,193.11565,310.9252,164.87163,308.07468,102.71636,307.51291,88.160042
1259.099,3.3601727,315.68893,193.14418,310.91183,164.87152,308.02078,102.67554,307.42578,88.025238
1278.7723,13.803352,315.61603,193.25479,310.91504,164.95877,308.04144,102.68401,307.52826,88.018578
1298.4458,0.45166805,315.89954,193.28214,311.03583,165.02979,308.0401,102.72396,307.41568,88.037643
1318.1193,11.758944,315.64532,193.46526,310.96738,165.15558,308.17545,102.8138,307.5694,88.114784
1337.7926,3.8326774,315.60526,193.47498,310.93289,165.17229,308.25729,102.83212,307.73782,88.095406
1357.4661,14.650341,315.73077,193.39885,310.9704,165.12408,308.16415,102.74247,307.5787,88.012192
1377.1395,1.1741732,315.49045,193.36278,310.84821,165.0656,308.19785,102.70841,307.75449,87.97802
1396.8129,12.237997,315.41202,193.3212,310.76312,165.03702,308.25836,102.68768,307.8364,87.996483
1416.4863,5.8820925,315.93253,192.97316,310.93704,164.8502,308.27036,102.78057,307.88461,88.1315
1436.1598,14.97486,317.59027,192.17261,311.39905,164.55292,308.90887,103.09142,309.2532,88.540665
1455.8331,1.4743223,318.58102,191.34361,311.51535,164.30226,309.54199,103.28892,310.8154,88.929947
1475.5066,12.498088,318.70627,191.54588,311.72211,164.40477,309.60587,103.10323,310.84967,88.65699
1495.1801,7.034061,317.2756,192.38052,311.3765,164.76598,309.07687,102.75418,309.39963,88.104118
1514.8534,0.53048599,316.76205,192.62971,310.89819,164.99197,308.82382,102.91216,309.25943,88.175018
1534.5269,6.6246929,316.94806,192.86932,311.13126,165.12379,308.6488,103.03439,308.96573,88.362526
1554.2003,14.481544,316.34186,193.26596,311.1124,165.25951,308.19019,103.02934,307.81284,88.353455
1573.8737,5.4699979,316.1506,193.1586,311.02649,165.13306,308.29562,103.00284,308.08871,88.360268
1593.5471,4.3166862,316.10657,192.96126,311.02127,164.91483,308.50723,102.78776,308.33145,88.151749
1613.2206,11.649448,316.00485,192.683,310.97031,164.62912,308.5238,102.57043,308.35083,87.952805
1632.8939,9.0110369,316.15222,192.49597,311.08676,164.45355,308.44104,102.46694,308.12927,87.904793
1652.5674,2.6289499,315.93893,192.53471,311.02304,164.44617,308.4147,102.54272,308.08966,88.09816
1672.2408,14.869673,315.91278,192.63155,310.97815,164.53751,308.53214,102.73943,308.31357,88.372925
1691.9142,5.9920764,315.72098,192.79147,310.91089,164.66931,308.66284,102.84364,308.48956,88.514679
1711.5876,5.8491745,315.84503,192.8094,310.87048,164.69174,308.46732,102.79877,308.32825,88.370636
1731.2611,4.6482553,315.78796,192.89561,310.85538,164.75276,308.40518,102.71686,308.20618,88.153809
1750.9344,13.963495,315.64243,193.06613,310.81982,164.93263,308.46048,102.75676,308.30081,88.083946
1770.6079,2.3530164,315.65662,193.28593,310.89066,165.1059,308.591,102.85175,308.45245,88.172325
1790.2814,0.092650868,315.82205,193.35338,310.98123,165.19299,308.62003,102.95924,308.43875,88.218513
1809.9547,1.5660579,316.16742,193.08298,311.02365,165.10832,308.67117,103.00023,308.60938,88.34388
1829.6282,12.289623,317.78854,192.08536,311.36746,164.64461,309.2149,103.18838,309.78244,88.595985
1849.3016,8.4108725,318.50003,191.64029,311.61078,164.43153,309.64398,103.12939,310.90125,88.630768
1868.975,3.2691255,317.40503,192.35007,311.49567,164.70335,309.31827,102.78871,309.66766,88.091896
1888.6484,15.73529,316.02481,193.10246,311.07043,165.06277,308.91513,102.78188,308.89581,88.103867
1908.3219,4.6716728,315.69327,193.26254,310.91022,165.1622,308.55978,102.96125,308.27069,88.259178
1927.9952,9.3840332,316.34799,193.12717,311.11377,165.08315,308.59787,103.08789,308.47275,88.530388
1947.6687,3.5956867,315.6409,193.07829,310.82672,164.96709,308.4119,102.98238,308.07452,88.445183
1967.3422,3.8210795,315.60239,192.94475,310.70935,164.83408,308.5097,102.87644,308.37418,88.344826
1987.0155,11.39783,315.48819,192.89192,310.73019,164.74455,308.74893,102.77305,308.63464,88.298698
2006.689,7.4418445,315.42606,192.90675,310.73816,164.73058,308.78809,102.78188,308.52399,88.337952
2026.3624,10.551812,315.61548,192.85875,310.85547,164.69879,308.85223,102.8344,308.66077,88.455627
2046.0358,7.9182491,315.79312,192.80203,310.9447,164.6705,308.5325,102.82271,308.08984,88.438171
2065.7092,5.0557685,315.73569,192.85165,310.87112,164.70503,308.49503,102.83163,308.15836,88.436249
