Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
886.13947,13.711946,382.89468,163.03006,374.11813,140.52921,371.35532,64.813522,376.74304,42.225853
902.85907,13.742338,384.41531,161.65546,374.11975,140.24585,371.89377,65.365547,379.27426,43.608597
919.57867,2.8815858,384.71805,161.1049,373.92462,140.2142,371.86533,65.577606,380.26691,44.504234
936.29828,5.9990606,383.97778,161.38075,373.70004,140.29201,371.29922,65.494781,379.01361,44.237083
953.01788,8.4537516,384.10681,161.39233,373.72534,140.30252,371.12689,65.500931,378.70364,44.268375
969.73749,8.9538507,384.75009,161.1799,373.91913,140.33087,371.37997,65.560593,379.55734,44.575752
986.45709,1.6354194,384.34384,161.80629,374.0069,140.47638,371.08832,65.242271,378.64529,43.866737
1003.1767,8.8520708,382.86258,162.65738,373.64172,140.68478,370.45358,64.955582,376.34335,42.977123
1019.8964,13.120006,382.75705,162.7036,373.43677,140.69138,370.28506,64.886604,376.45032,42.998116
1036.616,13.257521,382.98709,162.55771,373.46796,140.62146,370.28595,64.825958,376.62561,42.995171
1053.3356,11.470005,382.81726,162.40086,373.32446,140.5219,370.1666,64.874016,376.2446,42.988045
1070.0552,7.6706862,383.16696,161.90434,373.21323,140.36061,370.15039,65.043289,377.23224,43.613232
1086.7748,9.2935314,383.55719,161.54636,373.2027,140.22238,369.86218,65.085106,377.16763,43.787464
1103.4944,10.685205,383.54721,161.54257,373.35419,140.16881,369.52182,65.004059,376.0614,43.502705
1120.214,7.9256492,384.04373,161.10841,373.37949,140.05876,369.5705,65.212463,376.69666,43.943474
1136.9336,13.142701,384.48434,160.63849,373.37067,139.95183,369.66525,65.405403,377.52084,44.438969
1153.6532,10.975685,384.46353,160.49944,373.33673,139.93822,369.62405,65.442963,377.33975,44.482113
1170.3728,9.5312757,384.23532,160.66144,373.20114,140.02094,369.66019,65.496307,377.61868,44.608788
1187.0924,5.5591149,384.30475,160.70137,373.27237,140.07147,369.7413,65.473747,377.70834,44.597404
1203.812,9.8670464,384.03748,161.46358,373.40536,140.36108,369.57275,65.113258,376.85822,43.737442
1220.5317,9.0307541,382.2774,162.94789,373.23495,140.71753,369.11884,64.647049,374.65765,42.598347
1237.2513,6.7438436,381.19485,163.59119,372.82019,140.88943,368.84103,64.463097,373.74368,42.118137
1253.9709,14.886822,381.16922,163.44604,372.49646,140.86565,368.78894,64.421921,374.17236,42.176033
1270.6906,6.6728635,381.04929,163.3015,372.3446,140.79103,368.69998,64.382187,373.86856,42.162548
1287.4102,13.70156,381.50061,162.62027,372.20383,140.54718,368.75824,64.800491,374.49728,42.870758
1304.1298,12.153433,383.02841,161.43529,372.28387,140.19749,369.02716,65.164307,376.68045,44.041836
1320.8494,0.72159719,382.927,161.40852,372.21909,140.18484,368.71704,65.041977,376.20432,43.981487
1337.569,1.4590716,382.08304,161.94812,372.04489,140.25552,368.01617,64.839951,374.37393,43.405991
1354.2886,7.0477042,382.0498,162.13881,372.01129,140.27026,367.72,64.631905,374.11755,43.155186
1371.0082,13.157157,381.96823,162.23341,372.06949,140.20792,367.53433,64.397736,373.34723,42.675827
1387.7278,8.446166,381.6925,162.24855,371.94354,140.19556,367.35855,64.281525,372.88156,42.498974
1404.4474,8.1102819,381.5441,161.86285,371.59848,139.96089,367.31427,64.44928,373.56058,42.970074
1421.167,13.339452,382.04468,161.18503,371.49503,139.77802,367.31329,64.561554,374.13696,43.42561
1437.8866,8.620513,382.30463,160.86275,371.52902,139.64067,367.29391,64.643997,374.22833,43.607964
1454.6062,15.107081,382.40991,160.82504,371.57281,139.62277,367.32239,64.719711,374.47552,43.79673
1471.3258,2.3781662,382.47714,160.8299,371.60806,139.62646,367.26871,64.740913,374.43716,43.832985
1488.0455,10.75709,382.59885,160.77296,371.61877,139.68069,367.19501,64.773186,374.21347,43.822403
1504.7651,6.9015479,382.53619,161.06253,371.65085,139.77399,367.06708,64.711212,374.08142,43.68676
1521.4847,9.9434595,381.771,161.83299,371.62378,140.04568,366.7551,64.493156,372.83566,43.017246
1538.2043,7.593111,381.2265,162.16867,371.46857,140.16284,366.59106,64.423378,372.03821,42.754463
1554.924,10.438151,381.35654,162.04764,371.25632,140.13971,366.74707,64.511147,372.87918,42.992172
1571.6436,4.9945536,380.96301,162.33659,371.10901,140.21367,366.66422,64.427711,372.6283,42.926044
1588.3632,2.7155952,380.30707,162.99997,371.09943,140.42392,366.41696,64.254341,371.71918,42.475578
1605.0828,1.4679248,379.57086,163.75128,371.05548,140.58305,366.16583,64.021652,370.93878,41.935421
1621.8024,1.6362607,378.60651,164.48979,370.89807,140.71846,365.78531,63.625847,369.5737,41.253532
1638.522,6.3290172,377.80331,164.87195,370.59177,140.80916,365.34122,63.438171,368.39673,40.790131
1655.2416,2.3748081,377.63641,164.90036,370.48584,140.72906,365.31223,63.338284,368.42621,40.663464
1671.9612,14.439883,377.95914,164.68401,370.51611,140.64365,365.52158,63.286606,368.7959,40.610268
1688.6808,13.607503,378.15063,164.29111,370.52429,140.44267,365.75293,63.349335,369.27701,40.778343
1705.4004,13.929699,379.1629,163.10643,370.50204,140.00371,366.15396,63.858166,370.55069,41.645405
1722.12,10.522573,381.71973,160.95726,370.65051,139.48206,366.80521,64.507538,373.79471,43.277271
1738.8396,10.912594,382.64825,160.03494,370.66513,139.25049,367.03329,64.835365,375.59012,44.438145
1755.5593,6.4067478,381.36514,160.68869,370.44327,139.40157,366.20084,64.635078,373.69632,43.883675
1772.2789,5.3049107,381.28735,160.78983,370.40756,139.45357,365.71124,64.596779,372.60803,43.654129
1788.9985,12.251487,382.18134,160.48738,370.75531,139.44269,365.92609,64.588043,373.29434,43.816772
1805.7181,13.697344,381.92789,160.76837,370.85306,139.5262,365.78198,64.554916,372.53271,43.512714
1822.4377,15.209258,381.38434,160.98967,370.56265,139.65732,365.4375,64.639938,372.04065,43.571533
1839.1573,2.4498763,381.16907,161.02806,370.40033,139.6884,365.25772,64.711456,371.96854,43.729294
1855.877,6.2515416,381.37631,161.10124,370.52106,139.78256,365.27338,64.744156,371.62521,43.647644
1872.5966,7.226397,381.28915,161.48352,370.61435,139.95264,365.2796,64.75367,371.62283,43.6222
1889.3162,11.448896,380.5611,162.08638,370.44586,140.11432,364.97223,64.617348,370.65485,43.193356
1906.0358,1.3499972,379.93759,162.42113,370.2189,140.20267,364.57776,64.541771,369.73553,42.908897
1922.7554,7.5746264,379.86823,162.33165,370.00455,140.1707,364.52185,64.566322,369.82114,43.038052
1939.475,13.038866,380.26074,161.89284,369.90521,140.00635,364.60062,64.735222,370.62161,43.489944
