Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
0,6.4716806,381.89203,165.8175,374.92859,142.45818,373.23221,65.760979,377.41803,42.578609
16.719612,6.4716806,381.85193,165.81285,374.90826,142.45621,373.25336,65.748016,377.40814,42.580585
33.439224,6.4716806,381.87164,165.82863,374.92737,142.45993,373.22479,65.744736,377.43857,42.583675
50.158836,6.4716806,381.88562,165.80833,374.90079,142.45467,373.23303,65.743599,377.43857,42.580734
66.878448,6.4716806,381.86481,165.8015,374.90982,142.4586,373.24408,65.735176,377.44412,42.584633
83.598061,6.4716806,381.86755,165.80518,374.89752,142.43454,373.25616,65.724731,377.44199,42.579609
100.31767,6.4716806,381.87103,165.79515,374.89917,142.44836,373.23657,65.732567,377.42477,42.584427
117.03728,6.4716806,381.87625,165.79793,374.90475,142.45471,373.24011,65.736969,377.41339,42.576836
133.7569,6.4716806,381.87128,165.80524,374.91721,142.45551,373.23862,65.739296,377.41446,42.587856
150.4765,6.4716806,381.85507,165.81914,374.88867,142.48158,373.22751,65.726913,377.40488,42.599201
167.19612,6.4716806,381.86862,165.82841,374.88754,142.46814,373.22318,65.745018,377.41406,42.585159
183.91573,6.4716806,381.85684,165.81213,374.90649,142.44963,373.24677,65.746414,377.41138,42.607086
200.63535,6.4716806,381.87473,165.82135,374.91116,142.48759,373.2338,65.736557,377.40875,42.602676
217.35495,6.4716806,381.85641,165.83337,374.89816,142.48526,373.24265,65.784157,377.42123,42.613163
234.07457,6.4716806,381.86356,165.8291,374.91006,142.48428,373.23743,65.768394,377.42062,42.623478
250.79417,6.4716806,381.85797,165.80922,374.90216,142.5226,373.2319,65.788971,377.43369,42.646732
267.51379,6.4716806,381.84955,165.82773,374.89914,142.48854,373.24753,65.773415,377.43311,42.636738
284.2334,6.4716806,381.85852,165.84917,374.89777,142.49854,373.24384,65.784935,377.43176,42.618374
300.953,6.4716806,381.87839,165.82819,374.91617,142.48297,373.25558,65.76886,377.4368,42.62986
317.67264,6.4716806,381.88434,165.81993,374.91644,142.45326,373.24762,65.723244,377.43002,42.596428
334.39224,6.4716806,381.86081,165.81113,374.90131,142.46173,373.24194,65.73539,377.42819,42.594654
