Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y,Markers from bottom to top
900,18.73292194,382.69656,135.61275,363.53217,128.33359,364.97903,58.382778,382.34113,49.222904,
916.66669,18.74337302,382.66391,135.46227,363.52298,128.18025,364.96237,58.121132,382.27286,48.989353,
933.33331,18.75382409,382.64944,135.27692,363.55505,128.00113,364.90631,57.817165,382.18274,48.696957,
950,18.76427516,382.66269,135.0995,363.55872,127.81479,364.82043,57.528976,382.0976,48.415108,
966.66669,18.77472624,382.638,134.94316,363.55481,127.64664,364.7699,57.267147,381.98917,48.187988,
983.33331,18.78517731,382.60785,134.84348,363.5672,127.50883,364.7247,57.055759,381.93039,47.952095,
1000,18.79562838,382.59454,134.77133,363.53433,127.39467,364.66476,56.893856,381.81931,47.84404,
1016.6667,18.80607946,382.59564,134.70049,363.52649,127.33882,364.58835,56.731754,381.75165,47.625168,
1033.3334,18.81653053,382.87051,135.02141,363.84579,127.3723,364.37524,56.290871,381.48367,46.94331,
1050,18.8269816,382.15845,137.41449,363.80585,127.88016,363.42151,55.135777,380.0365,44.12421,
1066.6666,18.83743268,380.06454,140.91017,363.134,128.71269,361.50861,53.701427,376.83789,39.97237,
1083.3334,18.84788375,378.09698,143.80344,362.52588,129.32664,359.7634,52.613373,373.59772,36.696228,
1100,15.8650429,376.32767,146.50447,362.17361,129.84058,358.51077,51.658413,370.76486,33.883453,
1116.6666,12.14749159,374.37415,149.02402,361.83649,130.4037,357.5441,51.042015,367.98532,31.473902,
1133.3334,8.58701992,373.05429,150.68637,361.69467,130.70889,357.18887,50.774025,366.61078,30.313465,
1150,4.869468613,372.38367,151.48134,361.51233,130.83029,357.28192,50.742718,366.40466,29.906885,
1166.6666,1.151917306,371.89755,151.96884,361.42059,130.90204,357.42041,50.741077,366.42749,29.739824,
1183.3334,0.3064254707,371.36847,152.40163,361.26611,130.98505,357.4111,50.694614,366.29895,29.560078,
1200,0.2959743974,370.98196,152.65138,361.14856,130.96024,357.33685,50.497032,366.00473,29.2633,
1216.6666,0.285523324,370.93521,152.72044,361.18732,130.88673,357.30762,50.351978,365.75656,28.968199,
1233.3334,0.2750722507,370.91534,152.75543,361.2659,130.78889,357.40018,50.212952,365.75668,28.750879,
1250,0.2646211773,370.88342,152.79678,361.3031,130.65843,357.47073,50.029346,365.72018,28.569223,
1266.6666,0.254170104,370.72119,152.8595,361.33249,130.55264,357.49213,49.876759,365.646,28.344383,
1283.3334,0.2437190306,370.66309,152.86777,361.36331,130.46449,357.50897,49.727882,365.50089,28.121031,
1300,0.2332679572,370.55188,152.87511,361.3468,130.35846,357.54282,49.560902,365.40134,27.926113,
1316.6666,0.2228168839,370.44452,152.94958,361.34714,130.2713,357.54156,49.438499,365.37357,27.773619,
1333.3334,0.2123658105,370.33789,153.03746,361.35263,130.22713,357.51755,49.330845,365.24719,27.613585,
1350,0.2019147372,370.29169,153.07574,361.37122,130.20985,357.47369,49.300678,365.05487,27.506672,
1366.6666,0.1914636638,370.28632,153.16812,361.35944,130.23848,357.43939,49.285145,364.92178,27.459848,
1383.3334,0.1810125905,370.24942,153.33916,361.33878,130.28691,357.43106,49.346581,364.86838,27.481247,
1400,0.1705615171,370.16031,153.48434,361.34518,130.37537,357.39462,49.41597,364.80347,27.491629,
1416.6666,0.1601104438,370.06497,153.63492,361.30011,130.46014,357.33701,49.498852,364.65381,27.523634,
1433.3334,0.1496593704,369.96677,153.76131,361.24844,130.56265,357.29929,49.535629,364.48697,27.513437,
1450,0.1392082971,369.92151,153.89639,361.25354,130.63034,357.23712,49.622791,364.35257,27.527052,
1466.6666,0.1287572237,369.9024,153.98181,361.25952,130.67525,357.23132,49.670086,364.30942,27.541941,
1483.3334,0.1183061504,369.85635,154.06927,361.26566,130.73125,357.24869,49.726223,364.26962,27.552011,
1500,0.107855077,369.78,154.13045,361.25153,130.77432,357.27377,49.743866,364.23862,27.546846,
1516.6666,0.09740400365,369.70483,154.16492,361.25436,130.78383,357.3118,49.746944,364.19971,27.489355,
1533.3334,0.0869529303,369.64276,154.19226,361.24377,130.79056,357.32855,49.718323,364.16608,27.426563,
1550,0.07650185695,369.59503,154.17561,361.23792,130.75571,357.35443,49.693256,364.13828,27.334038,
1566.6666,0.06605078359,369.57217,154.17259,361.28479,130.74281,357.36755,49.65163,364.11475,27.236898,
1583.3334,0.05559971024,369.53503,154.13867,361.24936,130.68259,357.37119,49.602413,364.05731,27.12282,
1600,0.04514863689,369.48022,154.11343,361.21185,130.66916,357.38718,49.567535,364.04651,27.050413,
1616.6666,0.03469756353,369.20984,154.16386,361.05347,130.65591,357.46545,49.522541,364.133,26.989508,
1633.3334,0.02424649018,368.76212,154.3121,360.80591,130.69737,357.53653,49.506527,364.30429,26.955294,
1650,0.01379541683,368.3649,154.48553,360.64191,130.7782,357.61026,49.559143,364.4158,26.933054,
1666.6666,0.003344343473,368.15356,154.60872,360.49832,130.82617,357.60022,49.56424,364.41806,26.925173,
1683.3334,2.408554368,368.21649,154.63704,360.54172,130.87682,357.51773,49.573296,364.29996,26.912878,
1700,6.126105675,368.79041,154.25195,360.70599,130.82199,357.34128,49.723141,364.01785,26.930328,
1716.6666,9.686577349,370.43076,153.14059,361.11691,130.52222,357.46777,50.130753,364.29507,27.482471,
1733.3334,13.40412866,373.27173,151.23494,361.90317,129.93222,358.15063,50.927464,366.48334,29.136776,
1750,17.12167996,376.15182,148.79431,362.75687,129.30922,359.35626,51.961948,369.63156,31.498615,
1766.6666,18.54145828,378.17416,146.48061,363.26926,128.79155,360.55499,52.852623,372.57428,33.902515,
1783.3334,18.55190936,379.19766,144.51147,363.3689,128.37852,361.57385,53.668594,374.97534,36.250294,
1800,18.56236043,379.92075,142.67043,363.31494,128.01309,362.50378,54.34042,377.06195,38.560581,
1816.6666,18.5728115,380.66599,140.84349,363.35419,127.6627,363.29514,54.926804,378.6813,40.544289,
