Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
0,1.1938052,386.20898,165.27095,379.10391,141.97298,376.34006,64.384354,380.52487,40.605568
16.675005,1.1938052,386.21796,165.32486,379.0751,141.98277,376.33731,64.406326,380.50113,40.65258
33.35001,1.1938052,386.18393,165.33954,379.08139,141.99106,376.32727,64.41465,380.50946,40.680782
50.025013,1.1938052,386.21036,165.32355,379.07693,141.99191,376.314,64.419434,380.49051,40.70076
66.70002,1.1938052,386.19839,165.36078,379.06854,142.0128,376.32077,64.430046,380.50562,40.699017
83.375023,1.1938052,386.14551,165.37122,379.04346,142.028,376.32794,64.460144,380.49783,40.717999
100.05003,1.1938052,386.0993,165.4622,379.0304,142.04744,376.39368,64.472343,380.60196,40.800686
116.72503,1.1938052,386.09073,165.44907,379.0249,142.05585,376.4328,64.459969,380.66638,40.774597
133.40004,1.1938052,386.06973,165.43855,379.01776,142.04546,376.47144,64.480759,380.74991,40.770813
150.07504,1.1938052,386.08435,165.41278,379.03409,142.03816,376.49786,64.42865,380.80319,40.716358
166.75005,1.1938052,386.09525,165.35431,379.03323,141.96739,376.52179,64.345757,380.80725,40.636986
183.42505,1.1938052,386.11191,165.30032,379.03418,141.90712,376.5123,64.303566,380.82663,40.541443
200.10005,1.1938052,386.13953,165.24063,379.0509,141.87077,376.52875,64.190269,380.79706,40.457443
216.77505,1.1938052,386.13913,165.20724,379.05536,141.83864,376.54065,64.1381,380.81448,40.389496
233.45006,1.1938052,386.16632,165.15155,379.08807,141.83479,376.56082,64.098808,380.85284,40.353313
250.12506,1.1938052,386.18347,165.13315,379.10086,141.80592,376.58139,64.056892,380.87372,40.291573
266.80008,1.1938052,386.1795,165.10709,379.10419,141.7605,376.6022,64.022865,380.88394,40.231869
283.47507,1.1938052,386.18985,165.09547,379.1051,141.76546,376.59647,64.038277,380.88333,40.22794
300.15009,1.1938052,386.21353,165.06712,379.12131,141.74631,376.60797,64.014664,380.8887,40.209423
316.82507,1.1938052,386.18109,165.08801,379.13684,141.73366,376.6297,64.036095,380.90021,40.21323
333.50009,1.1938052,386.17584,165.10544,379.13385,141.77702,376.60992,64.042564,380.89722,40.217495
350.17508,1.1938052,386.15912,165.11617,379.133,141.79456,376.61639,64.040482,380.88809,40.242687
366.8501,1.1938052,386.15369,165.15886,379.09207,141.79691,376.62595,64.071503,380.90897,40.305378
383.52509,1.1938052,386.13641,165.19818,379.09708,141.84149,376.6033,64.142365,380.88803,40.359638
400.2001,1.1938052,386.15021,165.24352,379.08069,141.86961,376.60193,64.208855,380.87326,40.415974
416.87509,1.1938052,386.12766,165.25444,379.04507,141.91527,376.58566,64.234184,380.85352,40.453079
433.55011,1.1938052,386.12225,165.28993,379.03131,141.91788,376.569,64.251732,380.83624,40.514648
